shelfmark,holding_institution,marginalia,folio,sequence,incipit,feast,service,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
add. 18032,"London, British Library (GB-Lbl)",,235r,01,Fulgens preclara,,,Sq,,ah53035,,,,,,,,,,,,628539
add. 18032,"London, British Library (GB-Lbl)",,235v,02,Victime paschali laudes,,,Sq,,ah54007,,,,,,,,,,,,628540
add. 18032,"London, British Library (GB-Lbl)",,236r,03,Agni paschalis esu,,,Sq,,ah53050,,,,,,,,,,,,628541
add. 18032,"London, British Library (GB-Lbl)",,236r,04,Laudes Xpo redempti voce,,,Sq,,ah53045,,,,,,,,,,,,628542
add. 18032,"London, British Library (GB-Lbl)",,236v,05,Laudes salvatori ,,,Sq,,ah53036,,,,,,,,,,,,628543
add. 18032,"London, British Library (GB-Lbl)",,237v,06,Rex omnipotens,,,Sq,,ah53066,,,,,,,,,,,,628544
add. 18032,"London, British Library (GB-Lbl)",,238r,07,Sancti spiritus adsit nobis gratia,,,Sq,,ah53070,,,,,,,,,,,,628545
add. 18032,"London, British Library (GB-Lbl)",,238v,08,Benedicta semper sancta sit trinitas,,,Sq,,ah53081,,,,,,,,,,,,628546
add. 18032,"London, British Library (GB-Lbl)",,239r,09,Sancti baptiste Xpi preconis,,,Sq,,ah53163,,,,,,,,,,,,628547
add. 18032,"London, British Library (GB-Lbl)",,239v,10,Petre summe Xpi pastor,,,Sq,,ah53210,,,,,,,,,,,,628548
add. 18032,"London, British Library (GB-Lbl)",,240r,11,Laus tibi xpe qui es creator,,,Sq,,ah50268,,,,,,,,,,,,628549
add. 18032,"London, British Library (GB-Lbl)",,240v,12,Laurenti David magni,,,Sq,,ah53173,,,,,,,,,,,,628550
add. 18032,"London, British Library (GB-Lbl)",,241r,13,Laude dignum sanctum canat Remaclum,,,Sq,,ah53203,,,,,,,,,,,,628551
add. 18032,"London, British Library (GB-Lbl)",,241r,14,Stirpe Maria regia,,,Sq,,ah53095,,,,,,,,,,,,628552
add. 18032,"London, British Library (GB-Lbl)",,241v,15,Post partum virgo Maria,,,Sq,,ah53109,,,,,,,,,,,,628553
add. 18032,"London, British Library (GB-Lbl)",,242r,16,Magnum te Michalem,,,Sq,,ah53191,,,,,,,,,,,,628554
add. 18032,"London, British Library (GB-Lbl)",,242r,17,Ad celebres rex celice,,,Sq,,ah53190,,,,,,,,,,,,628555
add. 18032,"London, British Library (GB-Lbl)",,242v,18,Resultet tellus et alta,,,Sq,,ah53113,,,,,,,,,,,,628556
add. 18032,"London, British Library (GB-Lbl)",,243v,19,Alleluia    ...  Iam nunc intonent preconia,,,Sq,,,,,,,,,,,,,,628557
add. 18032,"London, British Library (GB-Lbl)",,243v,20,Sacerdotem Xpi Martinum,,,Sq,,ah53181,,,,,,,,,,,,628558
add. 18032,"London, British Library (GB-Lbl)",,244r,22,Deus in tua virtute,,,Sq,,ah53122,,,,,,,,,,,,628559
add. 18032,"London, British Library (GB-Lbl)",,244v,23,Congaudentes exultemus,,,Sq,,ah54066,,,,,,,,,,,,628560
add. 18032,"London, British Library (GB-Lbl)",,245r,24,Laudes crucis attollamus,,,Sq,,ah54120,,,,,,,,,,,,628561
add. 18032,"London, British Library (GB-Lbl)",,246r,25,Salve crux sancta arbor digna,,,Sq,,ah53082,,,,,,,,,,,,628562
add. 18032,"London, British Library (GB-Lbl)",,246v,26,Clare sanctorum senatus,,,Sq,,ah53228,,,,,,,,,,,,628563
add. 18032,"London, British Library (GB-Lbl)",,246v,27,Altissime Ihesu xpe,,,Sq,,ah10056,,,,,,,,,,,,628564
add. 18032,"London, British Library (GB-Lbl)",,247r,28,Psallat ecclesia mater,,,Sq,,ah53247,,,,,,,,,,,,628565
add. 18032,"London, British Library (GB-Lbl)",,257v,+29,Mane prima sabbati,,,Sq,,ah54143,,,,,,,,,,,,628566
